,BLEU-1,BLEU-4,METEOR,ROUGE-L,unigram_precision,brevity_penalty,length_ratio,BERTScore-F1
A_mismatched,0.34071372629722685,0.1296048318329003,0.2837634724493906,0.3402860086553079,0.37778048137559056,0.901882821093894,0.9063958831097225,0.8591236711740494
A_true,0.3608450120028666,0.15090643835542425,0.307153985257497,0.36310241958172595,0.39992297869752924,0.9022862681661057,0.906763462598787,0.8637921318411828
A_zero,0.347277775372539,0.13518457555771682,0.28797580626419994,0.3459166254696193,0.38463719969209575,0.902871005847944,0.9072964528579305,0.8607050027251244
B0,0.0001776268304127264,7.300026339799871e-06,0.03143300520136155,0.09821971228551615,0.4148696491792726,0.00042815094033540804,0.11420694725234332,0.8268345275521278
B1,0.3532137400481671,0.13436041599001464,0.28747373751073707,0.34816944146241524,0.39882105610288965,0.8856446635481638,0.8917110825215953,0.8669152076244354
D_beam,0.30974032307656035,0.11790320083151551,0.3045865909463724,0.36477588564751645,0.4864489970123773,0.6367375099525167,0.6889909943025179,0.8754955364465713
D_greedy,0.3608450120028666,0.15090643835542425,0.307153985257497,0.36310241958172595,0.39992297869752924,0.9022862681661057,0.906763462598787,0.8637921318411828
D_reppen,0.35445356167441455,0.13127050164338258,0.3201682051361177,0.3574415593891958,0.44931787175989085,0.7888703832012931,0.8083072964528579,0.8723239386677742
M1,0.3608450120028666,0.15090643835542425,0.307153985257497,0.36310241958172595,0.39992297869752924,0.9022862681661057,0.906763462598787,0.8637921318411828
M1_K16,0.37007016395763553,0.1569403348459158,0.3165006137368208,0.3828239748030571,0.425855672696024,0.8690037204736071,0.8768792501378423,
M1_K4,0.3570672459125825,0.14557412910148507,0.2963514193720017,0.36950654781870235,0.3924921541804136,0.9097436524768145,0.9135820621209336,
M1_depth1,0.3712414811831764,0.14795812591870003,0.30641400597554286,0.36710474302340146,0.4060559939119638,0.9142617933221903,0.9177357103473626,
M1_depth3,0.3710553983247164,0.1573418810135236,0.3165772898682895,0.3758247828084701,0.40637593984962406,0.9130840729941401,0.9166513508546223,
Mcnn,0.3728490780541337,0.15145053168580083,0.3108239361213009,0.3702603654786174,0.41182056981208326,0.905367787296947,0.9095754456901305,0.8665882605910301
